nome,categoria,cidade,estado,territorio,latitude,longitude,observacao
Associação da comunidade remanescente do quilombo Manuel Barbosa,Prática Comunicacional,Gravataí,Rio Grande do Sul,Comunidade Remanescente do Quilombo Manuel Barbosa,,,Localização a definir
Quilombo de Casca,Prática Comunicacional,Mostardas,Rio Grande do Sul,Quilombo de Casca,,,Localização a definir
Associação Comunitária Quilombola do Limoeiro,Prática Comunicacional,Palmares do Sul,Rio Grande do Sul,Quilombo do Limoeiro,,,Localização a definir
Quilombo Família Silva,Prática Comunicacional,Porto Alegre,Rio Grande do Sul,Três Figueiras,,,Localização a definir
Quilombo Dos Alpes,Prática Comunicacional,Porto Alegre,Rio Grande do Sul,Quilombo Dos Alpes,,,Localização a definir
Quilombo Do Areal,Prática Comunicacional,Porto Alegre,Rio Grande do Sul,Quilombo Do Areal,,,Localização a definir
Quilombo Dos Machado,Prática Comunicacional,Porto Alegre,Rio Grande do Sul,Quilombo Dos Machado,,,Localização a definir
Terra Quilombola Rincão dos Martimianos,Prática Comunicacional,Restinga Seca,Rio Grande do Sul,Rincão dos Martimianos,,,Localização a definir
Bruna Farias,Prática Comunicacional,Rio Grande,Rio Grande do Sul,Comunidade Quilombola São Manoel/Dona Geraldina Piratini-RS,,,Localização a definir
Charlene Bandeira,Prática Comunicacional,Rio Grande,Rio Grande do Sul,Comunidade Quilombola Macanudos (RS),,,Localização a definir
Instituto Germinar Quilombola,Prática Comunicacional,Rio Grande,Rio Grande do Sul,Comunidade Quilombola Macanudos (RS),,,Localização a definir
Comunidade Remanescente de Quilombo Macanudos,Prática Comunicacional,Rio Grande,Rio Grande do Sul,Comunidade Quilombola Macanudos (RS),,,Localização a definir
PsicoQUILOMBOlogia,Prática Comunicacional,Rio Grande,Rio Grande do Sul,Comunidade Quilombola São Manoel/Dona Geraldina Piratini-RS e Comunidade Quilombola Macanudos,,,Localização a definir
Quilombo da Arvinha,Prática Comunicacional,Sertão,Rio Grande do Sul,Quilombo da Arvinha,,,Localização a definir
Quilombo Vidal Martins,Prática Comunicacional,Florianópolis,Santa Catarina,Florianópolis (SC),,,Localização a definir
Mariéli Pereira,Prática Comunicacional,Garopaba,Santa Catarina,Quilombo Aldeia,,,Localização a definir
Luiz Marcos de França Dias (Luiz Ketu),Prática Comunicacional,Eldorado,São Paulo,Quilombo São Pedro,,,Localização a definir
Coletivo Esperança Garcia,Prática Cultural,Estância Jaraguá,São Paulo,Zona norte de São Paulo,,,Localização a definir
Associação Remanescente de Quilombo Kimbundo do Cafundó,Prática Comunicacional,Salto de Pirapora,São Paulo,Associação Remanescente de Quilombo Kimbundo do Cafundó,,,Localização a definir
Alex Aguiar Pires,Prática Comunicacional,Salto de Pirapora,São Paulo,Associação Remanescente de Quilombo Kimbundo do Cafundó,,,Localização a definir
Quilombo São Pedro,Prática Comunicacional,Vale do Ribeira,São Paulo,"Vale do Ribeira, São Paulo",,,Localização a definir
Maryellen Crisóstomo,Prática Comunicacional,Almas,Tocantins,Quilombo Baião em Almas,,,Localização a definir
Comunidade Quilombola Taboca,Prática Comunicacional,Monte do Carmo,Tocantins,Comunidade Quilombola Taboca,,,Localização a definir
Ponto de Cultura Tia Benvinda,Prática Cultural,Natividade,Tocantins,Ponto de Cultura Tia Benvinda,,,Localização a definir
